,country,grocery_pharmacy,parks,residential,retail_recreation,transit_stations,workplaces,fatalities,recovered,passed_days,cases_per_million,cases_last_day
0,Argentina,8.185,17.563,0.43700000000000006,13.644,5.334,-2.4859999999999998,0,0,0.0,0.0,0.0
1,Argentina,-15.875,25.605,6.321000000000001,-9.972999999999999,-26.785,-53.687,0,0,1.0,0.0,0.0
2,Argentina,-17.135,1.325,6.895,-19.717,-28.485,-50.053000000000004,0,0,2.0,0.0,0.0
3,Argentina,2.3040000000000003,5.399,-2.273,0.845,9.461,12.584000000000001,0,0,3.0,0.0,0.0
4,Argentina,-0.40399999999999997,-5.267,-0.493,-0.584,7.983,12.407,0,0,4.0,0.0,0.0
5,Argentina,2.075,-7.859,-0.5770000000000001,2.877,7.973,12.857000000000001,0,0,5.0,0.0,0.0
6,Argentina,4.685,-7.582000000000001,1.409,5.265,5.595,2.156,0,0,6.0,0.0,0.0
7,Argentina,2.873,-10.517999999999999,2.417,-2.509,0.9440000000000001,-2.36,0,0,7.0,0.0,0.0
8,Argentina,3.958,-8.264,-1.3630000000000002,0.537,6.931,16.164,0,0,8.0,0.0,0.0
9,Argentina,5.09,-6.2410000000000005,-1.33,0.2,8.202,16.192,0,0,9.0,0.02247696111485727,0.0
10,Argentina,2.898,-0.579,-1.916,-0.983,7.567,17.953,0,0,10.0,0.02247696111485727,0.02247696111485727
11,Argentina,4.236000000000001,-8.884,-1.4909999999999999,0.735,10.191,17.557000000000002,0,0,11.0,0.02247696111485727,0.02247696111485727
12,Argentina,7.63,-6.797000000000001,-1.996,6.376,12.04,18.163,0,0,12.0,0.04495392222971454,0.02247696111485727
13,Argentina,7.222,-9.604,1.219,5.391,8.476,2.7560000000000002,0,0,13.0,0.17981568891885816,0.04495392222971454
14,Argentina,4.425,-12.354000000000001,2.186,3.013,2.63,-2.325,1,0,14.0,0.26972353337828725,0.17981568891885816
15,Argentina,5.438,-9.125,-0.813,1.3730000000000002,13.177999999999999,14.687999999999999,1,0,15.0,0.26972353337828725,0.26972353337828725
16,Argentina,8.046,-8.646,-2.092,2.687,13.620999999999999,18.222,1,0,16.0,0.38210833895257357,0.26972353337828725
17,Argentina,-6.831,-24.127,0.207,-15.515,-6.097,15.189,1,0,17.0,0.4270622611822881,0.38210833895257357
